cntry,min,max,ci95lo,ci95hi,mean_ratio_11_00
AT,1.67192429022082,2.62447257383966,1.82127158815925,2.42197982498785,2.11133264578626
BE,3.05988023952096,5.87912087912088,3.52702702702703,5.21139432231262,4.28388424614083
CH,0.884514435695538,1.45936395759717,1,1.31423348226076,1.14925552480545
CZ,0.472222222222222,0.701230228471002,0.501547774981481,0.651612078977933,0.574379463734873
DE,3.58715596330275,5.38723404255319,3.7613923453997,4.87038706256628,4.27954070384724
DK,5.67567567567568,14.1428571428571,6.21767926792679,10.1741165865385,7.93264197973642
EE,0.520353982300885,0.841541755888651,0.587591240875912,0.774539308986073,0.676423003912184
ES,2.25,3.62944162436548,2.40142335766423,3.21117375976894,2.78034677949157
FI,3.65137614678899,6.02797202797203,3.95155708731,5.34980185192242,4.61573654295621
FR,1.44542772861357,2.33877551020408,1.57094252271139,2.11202283193697,1.8290440244864
GB,1.35645933014354,2.02147239263804,1.42516337583437,1.84132920725713,1.61288085066016
HU,0.373711340206186,0.690851735015773,0.43385363897332,0.621560471976401,0.522269535235989
IE,1.21205357142857,1.8393351800554,1.31825142091261,1.69490514626497,1.50068253220521
IL,2.19924812030075,3.47872340425532,2.36172073641586,3.11989909423169,2.69307774454395
LT,0.293948126801153,0.473257698541329,0.312143932177558,0.42253844660613,0.364354747731244
NL,2.43775100401606,4.12865497076023,2.67786244271477,3.66120438921206,3.14886087094923
NO,3.90070921985816,7.29268292682927,4.19793452730476,6.37237257423428,5.14151941578189
PL,0.478555304740406,0.793201133144476,0.546576484124763,0.740566902600781,0.6407519286441
PT,0.933962264150943,1.72972972972973,1.01355055658627,1.49689895027424,1.23170015532088
SE,9.55294117647059,22.3333333333333,10.8960026648901,18.3455018501388,13.9611056181217
SI,0.625429553264605,1.09442060085837,0.672855838812526,0.957446808510638,0.81189223442985
